model_name,display_name,model_family,model_type,precision,compiled,compile_mode,gpu_name,gpu_mem_gb,batch_size,throughput_mean,pixels_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,params_M,macs_G,peak_memory_mb,tf32_enabled,input_channels,input_size,pytorch_version,cuda_version,timestamp
resnet18,ResNet-18,ResNet,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,4616.63,231644212,110.903,110.857,111.464,111.828,11.18,3.63,3651.0,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:13:37
resnet18,ResNet-18,ResNet,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,4079.35,204685373,125.510,125.503,126.185,126.502,11.18,3.63,4267.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:14:19
resnet18,ResNet-18,ResNet,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,8961.89,449671954,57.131,57.126,57.183,57.202,11.18,3.63,2038.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:14:52
resnet18,ResNet-18,ResNet,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,14762.10,740703207,34.683,34.642,34.954,35.469,11.18,3.63,1370.6,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:15:30
resnet18,ResNet-18,ResNet,cnn,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,8907.91,446963144,57.477,57.464,57.572,57.717,11.18,3.63,2367.6,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:16:04
resnet18,ResNet-18,ResNet,cnn,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,14732.99,739242275,34.752,34.732,34.927,35.325,11.18,3.63,1545.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:16:41
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,3169.14,159014989,161.558,161.543,161.724,161.811,4.02,0.77,6499.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:17:20
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,4628.17,232223068,110.627,110.622,110.833,111.106,4.02,0.77,3417.0,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:18:24
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,5628.51,282415984,90.966,90.938,91.152,91.485,4.02,0.77,3255.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:19:01
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,8783.16,440703955,58.293,58.238,58.600,58.650,4.02,0.77,2639.2,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:19:54
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,5341.65,268022783,95.850,95.842,95.924,95.966,4.02,0.77,3417.0,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:20:28
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,8714.25,437246282,58.754,58.694,59.027,59.080,4.02,0.77,2800.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:21:16
convnext_small,ConvNeXt-S,ConvNeXt,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,548.04,27498588,934.234,933.967,936.760,937.271,49.46,17.37,7297.9,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:22:16
convnext_small,ConvNeXt-S,ConvNeXt,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,614.69,30842534,832.944,832.740,835.651,836.883,49.46,17.37,4215.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:23:17
convnext_small,ConvNeXt-S,ConvNeXt,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,1868.20,93738689,274.061,274.099,274.909,275.271,49.46,17.37,3664.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:24:01
convnext_small,ConvNeXt-S,ConvNeXt,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,2274.73,114136897,225.082,225.011,226.279,226.641,49.46,17.37,2123.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:24:41
convnext_small,ConvNeXt-S,ConvNeXt,cnn,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,1493.54,74939893,342.810,342.800,343.472,343.583,49.46,17.37,4832.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:25:23
convnext_small,ConvNeXt-S,ConvNeXt,cnn,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,2175.38,109152000,235.361,235.268,236.320,236.619,49.46,17.37,3290.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:26:14
mobilenetv3_large_100,MobileNetV3-L,MobileNet,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,5318.22,266847125,96.273,96.269,96.373,96.458,4.21,0.43,4445.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:26:51
mobilenetv3_large_100,MobileNetV3-L,MobileNet,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,7679.29,385315936,66.673,65.949,68.839,84.071,4.21,0.43,2390.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:27:43
